Time,Close,Open,High,Low,Volume,Code
1/2/2004,21.28,21.55,21.75,21.18,2582900,AAPL
1/5/2004,22.17,21.42,22.39,21.42,7053900,AAPL
1/6/2004,22.09,22.25,22.42,21.71,9095500,AAPL
1/7/2004,22.59,22.1,22.83,21.93,10479900,AAPL
1/8/2004,23.36,22.84,23.73,22.65,8219700,AAPL
1/9/2004,23,23.23,24.13,22.79,7633200,AAPL
1/12/2004,23.73,23.16,24,23.1,8706200,AAPL
1/13/2004,24.12,24.7,24.84,23.86,12125300,AAPL
1/14/2004,24.2,24.4,24.54,23.777,11072200,AAPL
1/15/2004,22.85,22.94,23.4,22.5,18182300,AAPL
1/16/2004,22.72,22.996,23.04,22.61,6657500,AAPL
1/20/2004,22.73,22.67,22.8,22.25,5641900,AAPL
1/21/2004,22.61,22.7,22.97,22.43,4047500,AAPL
1/22/2004,22.18,22.56,22.833,22.18,3660800,AAPL
1/23/2004,22.56,22.25,22.7398,22.25,4056600,AAPL
1/26/2004,23.01,22.46,23.06,22.43,4844100,AAPL
1/27/2004,23.07,23.03,23.25,22.798,5483400,AAPL
1/28/2004,22.52,22.84,23.38,22.41,4917900,AAPL
1/29/2004,22.68,22.63,22.8,22.19,3798200,AAPL
1/30/2004,22.56,22.74,22.87,22.42,3308900,AAPL
2/2/2004,22.32,22.46,22.81,22.08,5132700,AAPL
2/3/2004,22.26,22.3,22.4,22,3228800,AAPL
2/4/2004,21.79,22,22.09,21.7,5456300,AAPL
2/5/2004,22.42,21.82,22.91,21.81,6300800,AAPL
2/6/2004,22.71,22.45,22.89,22.4,3452500,AAPL
2/9/2004,22.667,22.62,22.86,22.5,3361800,AAPL
2/10/2004,22.98,22.62,23.12,22.44,4559700,AAPL
2/11/2004,23.8,23.09,23.87,23.05,6224000,AAPL
2/12/2004,23.73,23.67,23.99,23.6,3285500,AAPL
2/13/2004,23,23.85,24.1,22.83,5642500,AAPL
2/17/2004,23.16,23.1,23.49,23.1,3052800,AAPL
2/18/2004,23.26,23.18,23.44,23.05,2529200,AAPL
2/19/2004,22.47,23.31,23.64,22.41,5769300,AAPL
2/20/2004,22.4,22.5,22.51,22.21,4957200,AAPL
2/23/2004,22.19,22.45,22.46,21.8899,3465700,AAPL
2/24/2004,22.36,22.14,22.74,22,4626000,AAPL
2/25/2004,22.81,22.22,22.9,22.21,4933500,AAPL
2/26/2004,23.04,22.84,23.18,22.8,3543000,AAPL
2/27/2004,23.92,22.96,24.02,22.95,8372100,AAPL
3/1/2004,24.02,24.09,24.3,23.87,5744300,AAPL
3/2/2004,23.81,24,24.1,23.77,4583700,AAPL
3/3/2004,23.92,23.6,24.19,23.6,4020200,AAPL
3/4/2004,25.16,23.96,25.22,23.91,11789700,AAPL
3/5/2004,26.74,24.95,27.49,24.9,27510700,AAPL
3/8/2004,26,26.79,26.79,25.8,9337000,AAPL
3/9/2004,27.1,25.9,27.23,25.75,11042200,AAPL
3/10/2004,27.68,26.99,28.14,26.94,17981500,AAPL
3/11/2004,27.15,27.26,28.04,27.09,10640200,AAPL
3/12/2004,27.56,27.32,27.78,27.17,5879000,AAPL
3/15/2004,26.45,27.03,27.35,26.26,8602100,AAPL
3/16/2004,25.82,26.55,26.61,25.39,10811300,AAPL
3/17/2004,26.19,25.96,26.38,25.78,7347000,AAPL
3/18/2004,25.67,25.94,26.06,25.59,5733600,AAPL
3/19/2004,25.86,25.7,26.94,25.54,7296000,AAPL
3/22/2004,25.86,25.37,26.17,25.25,7482700,AAPL
3/23/2004,25.29,25.92,26,25.22,6884200,AAPL
3/24/2004,25.5,25.3,25.75,25.27,7646700,AAPL
3/25/2004,26.87,26.1,26.91,25.89,10115100,AAPL
3/26/2004,27.04,26.91,27.36,26.91,7498100,AAPL
3/29/2004,27.91,27.4,27.99,27.2,6263000,AAPL
3/30/2004,27.92,27.86,27.95,27.34,6422800,AAPL
3/31/2004,27.04,27.86,27.98,26.95,6978100,AAPL
4/1/2004,27.11,26.9,27.27,26.62,5684500,AAPL
4/2/2004,27.5,27.74,27.93,27.23,4901400,AAPL
4/5/2004,28.32,27.48,28.37,27.44,6887000,AAPL
4/6/2004,27.83,27.74,28.15,27.43,4607000,AAPL
4/7/2004,27.31,27.62,27.7,26.92,4555700,AAPL
4/8/2004,27.53,27.9,28,27.2,4302100,AAPL
4/12/2004,28.04,27.5,28.1,27.49,4116800,AAPL
4/13/2004,26.93,28,28.03,26.84,7792800,AAPL
4/14/2004,26.64,26.74,27.07,26.31,11423800,AAPL
4/15/2004,29.3,29,29.58,28.16,31454400,AAPL
4/16/2004,29.18,29.07,29.31,28.5,7195200,AAPL
4/19/2004,28.35,28.12,28.75,27.83,12720600,AAPL
4/20/2004,27.73,28.21,28.41,27.56,6330700,AAPL
4/21/2004,27.73,27.6,28.12,27.37,5819200,AAPL
4/22/2004,27.78,27.56,28.18,27.11,6153300,AAPL
4/23/2004,27.7,27.7,28,27.05,5639800,AAPL
4/26/2004,27.13,27.58,27.635,27,4127300,AAPL
4/27/2004,26.94,27.24,27.44,26.69,5069000,AAPL
4/28/2004,26.45,26.82,27.01,26.34,4128000,AAPL
4/29/2004,26.77,26.45,27,25.98,8228400,AAPL
4/30/2004,25.78,26.71,26.96,25.49,8330400,AAPL
5/3/2004,26.07,26,26.33,25.74,5314900,AAPL
5/4/2004,26.14,25.97,26.55,25.5,4999700,AAPL
5/5/2004,26.65,26.2,26.75,25.96,4251900,AAPL
5/6/2004,26.58,26.41,26.75,25.9,4706400,AAPL
5/7/2004,26.67,26.57,27.57,26.55,7482800,AAPL
5/10/2004,26.28,26.27,26.6,25.94,4463900,AAPL
5/11/2004,27.14,26.4,27.19,26.4,5449500,AAPL
5/12/2004,27.3,26.79,27.34,26.24,4382500,AAPL
5/13/2004,27.19,27.1273,27.72,26.9,4104500,AAPL
5/14/2004,27.06,27.25,27.32,26.45,4603600,AAPL
5/17/2004,26.64,26.7,27.06,26.36,5365100,AAPL
5/18/2004,27.06,26.97,27.29,26.8,3679700,AAPL
5/19/2004,26.47,27.4,27.5,26.42,6707000,AAPL
5/20/2004,26.71,26.63,27,26.47,3505300,AAPL
5/21/2004,27.11,26.9,27.2,26.73,3212400,AAPL
5/24/2004,27.34,27.25,27.9,27.11,4207200,AAPL
5/25/2004,28.41,27.5,28.51,27.29,5713900,AAPL
5/26/2004,28.51,28.31,28.78,28,5753000,AAPL
5/27/2004,28.17,28.48,28.6,27.82,4213800,AAPL
5/28/2004,28.06,28.08,28.27,27.8,2602100,AAPL
6/1/2004,28.06,27.79,28.2,27.61,3252400,AAPL
6/2/2004,28.92,28.03,29.17,27.8,5691300,AAPL
6/3/2004,28.4,28.72,28.99,28.29,4480900,AAPL
6/4/2004,28.78,28.56,29.25,28.51,7127000,AAPL
6/7/2004,29.81,29.04,29.98,28.81,5283500,AAPL
6/8/2004,30.35,29.99,30.44,29.83,7421800,AAPL
6/9/2004,30.2,30.09,30.71,30,6235800,AAPL
6/10/2004,30.74,30.32,30.97,30.2,4599600,AAPL
6/14/2004,30.12,30.65,30.68,29.5,4356900,AAPL
6/15/2004,30.69,30.5,31.14,30.26,7939900,AAPL
6/16/2004,32.74,30.62,33.32,30.53,16243600,AAPL
