Time,Close,Open,High,Low,Volume,Code
1/2/2004,39.1,39.64,39.7,38.87,1849800,ADBE
1/5/2004,39.8,39.3,39.98,38.46,4683700,ADBE
1/6/2004,39.84,39.84,39.98,39.14,2695200,ADBE
1/7/2004,39.44,39.44,39.7,39.11,2728900,ADBE
1/8/2004,38,39.41,39.88,37.9,6517400,ADBE
1/9/2004,37.12,37.84,37.96,36.78,6078600,ADBE
1/12/2004,37.36,37.29,37.64,36.36,5145000,ADBE
1/13/2004,37.19,37.34,37.5,36.9,4158300,ADBE
1/14/2004,37.15,37.59,37.87,37.03,2949000,ADBE
1/15/2004,38.45,36.701,38.78,36.65,5051500,ADBE
1/16/2004,38.3,39,39.07,38.02,3343400,ADBE
1/20/2004,38.5,38.96,39.29,38.12,3247300,ADBE
1/21/2004,38.53,38.53,38.65,37.81,2891600,ADBE
1/22/2004,37.2,38.27,38.47,37.2,2863100,ADBE
1/23/2004,38.04,37.71,38.2,37.3,3985700,ADBE
1/26/2004,38.34,37.71,38.34,37.58,2182500,ADBE
1/27/2004,37.59,38.43,38.57,37.46,2625700,ADBE
1/28/2004,36.64,37.72,37.96,36.4,3602000,ADBE
1/29/2004,36.13,36.99,37.04,35.78,5296700,ADBE
1/30/2004,38.3,38.25,39,37.58,8057200,ADBE
2/2/2004,37.82,38.59,38.67,37.4,3808500,ADBE
2/3/2004,37.79,37.74,38.22,36.95,2017500,ADBE
2/4/2004,37.92,37.58,38.55,37.2,4070000,ADBE
2/5/2004,37.74,37.86,38.32,37.43,2351600,ADBE
2/6/2004,38.92,37.69,39.19,37.5,3236900,ADBE
2/9/2004,38.88,38.81,39.55,38.8,2616800,ADBE
2/10/2004,38.73,38.85,39.16,38.6,1809000,ADBE
2/11/2004,39.5,39.21,39.63,38.8,2747400,ADBE
2/12/2004,39.456,39.61,39.7,39.31,2279000,ADBE
2/13/2004,38.53,39.22,39.42,38.37,2255900,ADBE
2/17/2004,39.19,39,39.31,38.52,1612000,ADBE
2/18/2004,39.77,39.25,39.83,38.76,3344700,ADBE
2/19/2004,38.3,39.79,40.13,38.115,3474900,ADBE
2/20/2004,37.94,38.5,38.622,37.6,3228300,ADBE
2/23/2004,36.6,37.96,38.17,36.22,2957600,ADBE
2/24/2004,36.28,36.7,36.99,36.05,3277800,ADBE
2/25/2004,36,36.34,36.6,35.55,3349600,ADBE
2/26/2004,37.71,36.41,37.86,36.18,4592900,ADBE
2/27/2004,37.25,37.76,37.97,36.85,2253200,ADBE
3/1/2004,37.47,37.5,37.87,37.09,2322100,ADBE
3/2/2004,37.55,37.47,37.81,37.36,2564200,ADBE
3/3/2004,36.95,37.25,37.4,36.72,2373500,ADBE
3/4/2004,36.69,36.81,36.85,36.32,2279700,ADBE
3/5/2004,36.46,36.53,37.01,36.25,2025800,ADBE
3/8/2004,35.83,36.49,36.67,35.8,2463200,ADBE
3/9/2004,36.09,35.82,36.46,35.79,3141100,ADBE
3/10/2004,35.05,35.95,36.17,34.97,3015500,ADBE
3/11/2004,34.39,34.91,35.13,34.3,3347700,ADBE
3/12/2004,35.71,34.9,35.74,34.6,3301600,ADBE
3/15/2004,35.04,35.85,35.86,34.89,2839300,ADBE
3/16/2004,35.35,35.29,35.76,35.07,2974800,ADBE
3/17/2004,36.26,35.4,36.46,35.4,2804400,ADBE
3/18/2004,36.27,36.2,36.54,35.7,5982100,ADBE
3/19/2004,39.85,39.54,40.08,38.55,19833500,ADBE
3/22/2004,39.28,39.49,39.88,38.8,7428000,ADBE
3/23/2004,38.61,39.44,39.75,38.56,3684900,ADBE
3/24/2004,38.83,38.5,39.44,38.42,4036200,ADBE
3/25/2004,40.05,39.07,40.13,38.97,3764500,ADBE
3/26/2004,39.49,39.93,40.25,39.44,2424600,ADBE
3/29/2004,39.91,39.66,40.45,39.56,2683800,ADBE
3/30/2004,39.58,39.68,40.24,39.38,2313800,ADBE
3/31/2004,39.3,39.74,39.8,39.1,2529000,ADBE
4/1/2004,40.28,39.45,40.4,39.4,3636500,ADBE
4/2/2004,40.9,40.92,41,40.03,3487400,ADBE
4/5/2004,41.35,40.9,41.45,40.66,3091500,ADBE
4/6/2004,41.46,40.8,41.6,40.7,2872300,ADBE
4/7/2004,41.86,41.06,42,40.96,3941300,ADBE
4/8/2004,41.99,42.1,42.2,41.56,3334200,ADBE
4/12/2004,42.52,41.82,42.8,41.79,3271300,ADBE
4/13/2004,42.3,42.479,42.57,41.93,2505800,ADBE
4/14/2004,42.58,41.64,42.58,41.6,2628500,ADBE
4/15/2004,41.27,42.6,42.6,40.7,2674300,ADBE
4/16/2004,41.54,41.32,42.25,41.05,3087000,ADBE
4/19/2004,41.89,41.46,41.93,41.19,2170600,ADBE
4/20/2004,41.2,41.87,42.25,41.18,2142300,ADBE
4/21/2004,41.98,41.3,41.99,40.7,2611900,ADBE
4/22/2004,43.02,41.62,43.16,41.59,3536500,ADBE
4/23/2004,43.69,42.78,43.77,42.78,3305800,ADBE
4/26/2004,42.81,43.53,43.7,42.38,2327600,ADBE
4/27/2004,42.81,42.94,43.32,42.4,2252400,ADBE
