Date,Close,Open,High,Low,Volume,Code
1/2/2004,51.9,52.76,53.13,51.43,6639900,AMZN
1/5/2004,53.27,52,53.6,51.37,11284100,AMZN
1/6/2004,53.03,53.11,53.5,52.74,5985500,AMZN
1/7/2004,51.9,52.18,52.66,50.94,9242700,AMZN
1/8/2004,50.24,52.09,52.095,50.03,10320300,AMZN
1/9/2004,51.59,49.77,52.15,49.1,12779200,AMZN
1/12/2004,52.95,51.65,53.03,50.8,9450900,AMZN
1/13/2004,54.91,52.67,54.99,52.41,14522300,AMZN
1/14/2004,55.8,54.62,55.99,54.15,11134100,AMZN
1/15/2004,56.18,54.73,56.78,54.62,12217300,AMZN
1/16/2004,55.72,56.23,56.37,55.27,9114200,AMZN
1/20/2004,56.61,55.57,56.84,55.41,7748400,AMZN
1/21/2004,56.2,56.15,56.94,55.64,6783600,AMZN
1/22/2004,57.18,56.81,57.82,56.24,10672200,AMZN
1/23/2004,57.11,57.1,57.61,56.62,6039000,AMZN
1/26/2004,57.03,56.81,57.2,56.3,5566000,AMZN
1/27/2004,55.74,56.75,57.74,55.66,12964100,AMZN
1/28/2004,51.96,53.74,54.45,51.62,21581300,AMZN
1/29/2004,49.22,52.03,52.06,48.6,22485100,AMZN
1/30/2004,50.4,49.3,51.37,49.3,11404500,AMZN
2/2/2004,48.27,50.56,50.65,47.95,11588900,AMZN
2/3/2004,44.94,48.19,48.28,44.52,27071400,AMZN
2/4/2004,45.39,44.8,45.91,44.3,21600700,AMZN
2/5/2004,46.04,46.03,47.09,45.904,13189500,AMZN
2/6/2004,46.35,46.2,46.73,45.51,6508100,AMZN
2/9/2004,45.86,46.75,46.8,45.7,6146100,AMZN
2/10/2004,45.59,45.85,46.25,45.51,4949000,AMZN
2/11/2004,47.14,45.85,47.363,45.54,7881700,AMZN
2/12/2004,47.06,47,48.1,46.71,6757200,AMZN
2/13/2004,46.38,47.29,47.7,46.24,5431700,AMZN
2/17/2004,45.53,46.14,46.45,44.8,11038200,AMZN
2/18/2004,44.87,45.36,45.37,44.64,7953500,AMZN
2/19/2004,44.65,45.15,46.16,44.65,7442500,AMZN
2/20/2004,45.17,44.8,45.38,44.73,7475300,AMZN
2/23/2004,43.969,45.19,45.253,43.35,9341900,AMZN
2/24/2004,42.32,43.9,43.94,42.23,11095300,AMZN
2/25/2004,42.94,42.5,43.29,42.5,7152800,AMZN
2/26/2004,43.65,43,43.85,43,5960300,AMZN
2/27/2004,43.01,43.43,43.6,42.52,7163600,AMZN
3/1/2004,42.97,42.88,43.48,42.58,4959500,AMZN
3/2/2004,42.01,42.73,43.49,41.86,6966600,AMZN
3/3/2004,43.17,41.72,43.38,41.65,9601600,AMZN
3/4/2004,44.39,43.16,44.47,43.1,7380100,AMZN
3/5/2004,44.09,43.72,44.83,43.53,6426500,AMZN
3/8/2004,43.5,43.99,45.06,43.13,6608500,AMZN
3/9/2004,42.71,43.28,43.89,42.27,6593100,AMZN
3/10/2004,41.55,42.72,43.2,41.46,6932700,AMZN
3/11/2004,41.28,41.09,42.37,41.04,7042600,AMZN
3/12/2004,42.44,41.35,42.61,41.3,6223800,AMZN
3/15/2004,41.08,42.26,42.8,40.92,6612200,AMZN
3/16/2004,42.13,41.46,42.36,41.26,6218200,AMZN
3/17/2004,42.8,43,43.45,42.59,5107300,AMZN
3/18/2004,43.01,42.53,43.2,42.21,5724300,AMZN
3/19/2004,42.8,43.08,43.75,42.63,5754900,AMZN
3/22/2004,40.85,41.75,41.85,40.51,8975100,AMZN
3/23/2004,40.23,41.21,41.74,39.85,11225700,AMZN
3/24/2004,39.63,40.35,40.38,39.15,7875900,AMZN
3/25/2004,41.99,40,42.2,40,7112700,AMZN
3/26/2004,41.7,42.01,42.49,41.29,5740400,AMZN
3/29/2004,42.76,42.07,42.8,41.97,5561000,AMZN
3/30/2004,43.8,42.71,43.93,42.56,5452900,AMZN
3/31/2004,43.28,43.85,44,42.95,4674900,AMZN
4/1/2004,44.74,43.44,44.84,43.3,6508500,AMZN
4/2/2004,46.09,45.87,46.25,45.25,8148100,AMZN
