Date,Close,Open,High,Low,Volume,Code
3/19/2008,56.5,59.5,69,55,177121500,V
3/20/2008,64.35,58.47,65,57.5,49746300,V
3/24/2008,59.73,67.24,67.7,59,37391600,V
3/25/2008,63.25,60.63,64.25,59.82,21773000,V
3/26/2008,63.96,62.5,64.48,61.57,10777900,V
3/27/2008,62.91,64.05,64.74,62.65,9957400,V
3/28/2008,62.76,63.1,63.44,62.16,6168800,V
3/31/2008,62.36,62.7,63.48,62.05,5539300,V
4/1/2008,61.61,63,63.68,60.31,15102700,V
4/2/2008,62.32,61.79,62.32,60.5,10959100,V
4/3/2008,65.5,61.93,66.29,61.82,25217000,V
4/4/2008,64.48,64.87,65.32,63.75,9098600,V
4/7/2008,65.04,65.02,65.8,64.02,7075400,V
4/8/2008,68.09,65.2,68.24,64.81,13481400,V
4/9/2008,65.79,68.35,68.72,65.61,12081100,V
4/10/2008,66.11,66.67,66.73,65.11,5593000,V
4/11/2008,66.11,65.25,66.77,65.25,6605400,V
4/14/2008,65.68,66.98,67.24,65.53,7110900,V
4/15/2008,64.35,66.54,66.55,64,5972000,V
4/16/2008,66.14,65,66.95,64.56,6284200,V
4/17/2008,67.04,66.47,67.75,66.01,5614900,V
4/18/2008,69,68.1,70.447,67.2,26024900,V
4/21/2008,70.97,69.7,72.5,68.85,14712000,V
4/22/2008,70.28,72.1,72.4,70,11839400,V
4/23/2008,70.08,71.15,71.7,69.69,9329900,V
4/24/2008,72.3,71.2,72.99,70.04,9521700,V
4/25/2008,75.1,76,76.08,73.91,25365000,V
4/28/2008,75.63,76.22,77.29,74.9,33129300,V
4/29/2008,80.88,73.28,80.88,71,49327100,V
4/30/2008,83.45,81.21,84.81,81.07,36885900,V
5/1/2008,85.4,84.68,87.64,83.9,29098900,V
5/2/2008,82.75,87.25,87.5,81,34162200,V
5/5/2008,85.06,82.85,85.5,80.82,17594300,V
5/6/2008,87.53,85.39,88.15,84.75,18978300,V
5/7/2008,88.5,88.99,89.84,87.66,25116200,V
5/8/2008,87.3,89.5,89.75,85.94,23209100,V
5/9/2008,82.86,85.77,86.6699,82.52,23578000,V
5/12/2008,81.9,83.73,84.48,78.1,36867900,V
5/13/2008,82.38,81.75,83.5,80.79,13312400,V
5/14/2008,82.23,83.34,84.35,81.45,12850100,V
5/15/2008,82.25,82.45,82.93,81.11,9172200,V
5/16/2008,82.37,82.71,82.85,81.26,8516700,V
5/19/2008,83.32,82.31,84.74,82.15,11368300,V
5/20/2008,82.74,82.88,83.84,81.91,10175500,V
5/21/2008,80.85,82.38,83.43,80.52,10457900,V
5/22/2008,77.31,80.57,80.6,76.16,21320900,V
5/23/2008,76.35,75.79,77.31,75.12,10549100,V
5/27/2008,78.74,76.92,78.94,74.36,15694100,V
5/28/2008,81.92,80.29,81.95,79.55,13249000,V
5/29/2008,85.25,83.28,86.95,83.01,25153300,V
5/30/2008,86.36,86.01,87.56,85.81,18004000,V
6/2/2008,86.07,86.21,86.95,84.6,9214000,V
6/3/2008,87.56,87.01,87.95,86.03,12102900,V
6/4/2008,85.48,87.08,88.1,85.28,10171100,V
6/5/2008,87.24,86.46,87.24,85.59,6764900,V
6/6/2008,83.65,85.9,85.99,83.55,10437000,V
6/9/2008,82.14,84,84.95,80.56,11310000,V
6/10/2008,80.31,80.05,82.87,79.61,9012100,V
6/11/2008,77.74,81,81,77.6,14249100,V
6/12/2008,79.56,78.95,80.77,78.55,11151400,V
6/13/2008,81.53,80.15,81.81,80.15,7672300,V
6/16/2008,83.27,81.34,83.5,81.1,8596000,V
6/17/2008,84.67,84.1,84.98,83.68,8319400,V
6/18/2008,83.86,83.7,84.7,83.44,8431000,V
6/19/2008,84.27,83.48,84.4,81.6201,9231300,V
6/20/2008,83.57,83.3299,84.5,82.75,10636700,V
6/23/2008,81.06,83.81,84.35,81.02,7535300,V
6/24/2008,82.66,80.06,82.94,78.51,12472800,V
6/25/2008,82.06,83.36,84.42,81.86,12677900,V
6/26/2008,79.1,80.6,80.74,78.02,19140700,V
6/27/2008,82.6,78.8,82.87,78.55,44005700,V
6/30/2008,81.31,82,82.84,80.3,12325300,V
7/1/2008,81.41,79.2,81.41,79.2,11230400,V
7/2/2008,79.42,81.9,82.4,79.3,8451000,V
