Date,Close,Open,High,Low,Volume,Code
1/2/2004,40.63,41.02,41.22,40.4,12180000,XOM
1/5/2004,41.58,41.1,41.629,40.98,14668100,XOM
1/6/2004,41.3,41.52,41.55,40.96,12364400,XOM
1/7/2004,41,41.08,41.25,40.54,13561500,XOM
1/8/2004,40.9,40.91,40.91,40.31,14608300,XOM
1/9/2004,40.29,40.45,40.59,40.02,15826200,XOM
1/12/2004,40.86,40.7,40.89,40.52,10321800,XOM
1/13/2004,40.68,40.87,40.98,40.43,9365500,XOM
1/14/2004,40.68,40.58,40.71,40.31,8539500,XOM
1/15/2004,40.28,40.68,40.75,40.22,10256500,XOM
1/16/2004,40.5,40.35,40.5,40.08,13305200,XOM
1/20/2004,40.88,40.5,40.96,40.5,10790000,XOM
1/21/2004,41.43,40.96,41.46,40.81,11511800,XOM
1/22/2004,41.28,41.43,41.5,40.95,9422700,XOM
1/23/2004,41.04,41.35,41.43,40.75,11739000,XOM
1/26/2004,41.55,41.05,41.55,40.88,9565700,XOM
1/27/2004,41.19,41.43,41.77,41.11,10386700,XOM
1/28/2004,40.81,41.4,41.56,40.41,12189400,XOM
1/29/2004,41.47,41.46,41.59,41.16,16666200,XOM
1/30/2004,40.79,41.15,41.25,40.57,11082300,XOM
2/2/2004,40.69,41.26,41.26,40.39,13964900,XOM
2/3/2004,40.41,40.8,40.8,40.38,10048500,XOM
2/4/2004,40.35,40.05,40.51,40.05,12106600,XOM
2/5/2004,40.38,40.48,40.55,40.09,9355100,XOM
2/6/2004,40.51,40.23,40.56,40.1,9928700,XOM
2/9/2004,40.73,40.31,40.9,40.21,8845600,XOM
2/10/2004,41.09,40.58,41.23,40.5,8722600,XOM
2/11/2004,41.92,41.01,41.98,40.98,14555600,XOM
2/12/2004,41.91,41.78,42,41.55,9826100,XOM
2/13/2004,41.91,41.89,42.15,41.62,11234500,XOM
2/17/2004,42.23,42.2,42.45,42.13,8597700,XOM
2/18/2004,41.8,42.11,42.28,41.8,7767600,XOM
2/19/2004,41.95,41.9,42.38,41.86,10518900,XOM
2/20/2004,42.03,42.2,42.45,41.9,11256400,XOM
2/23/2004,42.58,42.23,42.69,42.15,9583000,XOM
2/24/2004,42.31,42.5,42.6,42.21,10385600,XOM
2/25/2004,42.65,42.45,42.75,42.29,10275000,XOM
2/26/2004,42.31,42.62,42.75,42.3,9332700,XOM
2/27/2004,42.17,42.46,42.73,42.11,13338600,XOM
3/1/2004,42.52,42.58,42.64,42.31,15990500,XOM
3/2/2004,42.04,42.2,42.38,42.01,11886600,XOM
3/3/2004,41.9,42.03,42.04,41.6,13615700,XOM
3/4/2004,41.75,41.8,41.87,41.679,8363400,XOM
3/5/2004,42.49,41.72,42.56,41.65,12789200,XOM
3/8/2004,42.56,42.5,42.74,42.4,10421600,XOM
3/9/2004,42.78,42.35,42.95,42.32,14112100,XOM
3/10/2004,42.43,43,43.4,42.43,18667900,XOM
3/11/2004,41.35,42.3,42.55,41.14,14986100,XOM
3/12/2004,42.03,41.45,42.09,41.36,11271700,XOM
3/15/2004,41.78,41.78,42.29,41.65,11621200,XOM
3/16/2004,42.07,41.95,42.25,41.69,9720000,XOM
3/17/2004,42.24,42.24,42.63,42.16,9077700,XOM
3/18/2004,42.46,42.1,42.55,41.96,10556900,XOM
3/19/2004,41.5,42.21,42.42,41.47,18987700,XOM
3/22/2004,40.94,41.25,41.48,40.83,12364500,XOM
3/23/2004,40.76,41.01,41.2,40.46,10905800,XOM
3/24/2004,40.1,40.7,40.94,39.91,13192300,XOM
3/25/2004,40.25,40.2,40.36,40.01,12703200,XOM
3/26/2004,40.74,40.35,41.14,40.32,11345400,XOM
3/29/2004,41.09,40.87,41.41,40.86,9621800,XOM
3/30/2004,41.55,41.41,41.66,41.26,10453100,XOM
3/31/2004,41.59,41.65,41.97,41.43,12630500,XOM
4/1/2004,41.52,41.9,41.99,41.43,11381200,XOM
4/2/2004,41.91,41.99,41.99,41.6,11270900,XOM
4/5/2004,42.25,41.97,42.33,41.95,8649100,XOM
4/6/2004,42.19,42.06,42.4,42,7449500,XOM
4/7/2004,41.9,42.02,42.28,41.88,10144700,XOM
4/8/2004,42.45,42.23,42.93,42.16,12242600,XOM
4/12/2004,43.11,42.7,43.37,42.6,9950600,XOM
4/13/2004,42.82,43.39,43.44,42.8,12351400,XOM
4/14/2004,43.3,42.58,43.3,42.51,11549600,XOM
4/15/2004,43.68,43.3,43.83,42.5,12009400,XOM
4/16/2004,43.86,43.74,43.9,43.55,10278000,XOM
4/19/2004,43.73,43.85,43.86,43.47,7110700,XOM
4/20/2004,42.73,43.72,43.72,42.7,10363100,XOM
4/21/2004,42.95,42.56,42.99,42.4,10862800,XOM
4/22/2004,43.3,42.69,43.55,42.6,10243300,XOM
4/23/2004,42.97,43.25,43.25,42.77,7957300,XOM
4/26/2004,43.01,43.25,43.44,42.97,9476400,XOM
4/27/2004,43.75,43.07,43.97,43.06,13363000,XOM
4/28/2004,43.12,43.68,43.8,43.12,11798800,XOM
4/29/2004,42.54,43.25,43.72,42.5,13531100,XOM
4/30/2004,42.55,42.9,43.46,42.55,13186400,XOM
5/3/2004,43.68,42.9,43.7,42.83,12381400,XOM
5/4/2004,43.52,43.64,43.89,43.25,13133700,XOM
5/5/2004,43.99,43.38,44,43.21,13154500,XOM
5/6/2004,43.83,43.9,44.24,43.51,11523100,XOM
5/7/2004,43.25,43.5,43.8,43.05,10017200,XOM
5/10/2004,42.05,42.63,42.85,41.59,16300500,XOM
5/11/2004,42.6,42.3,42.64,42,11286400,XOM
5/12/2004,43,42.27,43.03,42.26,13372400,XOM
5/13/2004,42.73,42.65,43.22,42.55,10251200,XOM
5/14/2004,43.27,42.8,43.56,42.73,10644700,XOM
5/17/2004,43.05,43.3,43.54,43.01,10229800,XOM
5/18/2004,42.69,43.05,43.06,42.55,11444100,XOM
5/19/2004,42.6,42.8,43.12,42.44,13681100,XOM
5/20/2004,42.73,42.56,43.07,42.52,8332400,XOM
5/21/2004,42.6,42.97,43.28,42.45,16860700,XOM
5/24/2004,42.8,42.66,43.05,42.5,11629700,XOM
5/25/2004,43.82,43,43.82,43,12634400,XOM
5/26/2004,43.55,43.78,43.82,43.28,10021700,XOM
5/27/2004,43.37,43.65,43.7,43.01,10616600,XOM
5/28/2004,43.25,43.1,43.52,43.06,10248800,XOM
6/1/2004,43.7,43.5,43.85,43.38,10000700,XOM
6/2/2004,43.78,43.85,43.99,43.71,13583600,XOM
6/3/2004,43.55,43.71,43.95,43.55,8656000,XOM
6/4/2004,43.37,43.5,43.59,43.21,10021500,XOM
6/7/2004,44,44,44,43.62,10918000,XOM
